layer,nvtx,cell,x,y,z
1,10,13,19.5106,1589.79,4857.58
1,10,13,-19.5106,1589.79,4857.58
1,10,13,18.4073,1499.89,4827.55
1,10,13,-18.4073,1499.89,4827.55
1,10,13,19.5106,1589.79,4818.53
1,10,13,0.284707,1589.79,4818.53
1,10,13,-19.5106,1589.79,4818.53
1,10,13,18.4073,1499.89,4790.71
1,10,13,0.284707,1499.89,4790.71
1,10,13,-18.4073,1499.89,4790.71
1,10,14,19.5027,1589.14,4896.79
1,10,14,-19.5027,1589.14,4896.79
1,10,14,18.4073,1499.89,4864.76
1,10,14,-18.4073,1499.89,4864.76
1,10,14,19.5027,1589.14,4857.45
1,10,14,0.285923,1589.14,4857.45
1,10,14,-19.5027,1589.14,4857.45
1,10,14,18.4073,1499.89,4827.64
1,10,14,0.285923,1499.89,4827.64
1,10,14,-18.4073,1499.89,4827.64
1,10,15,19.4943,1588.46,4936.26
1,10,15,-19.4943,1588.46,4936.26
1,10,15,18.4073,1499.89,4902.26
1,10,15,-18.4073,1499.89,4902.26
1,10,15,19.4943,1588.46,4896.62
1,10,15,0.287146,1588.46,4896.62
1,10,15,-19.4943,1588.46,4896.62
1,10,15,18.4073,1499.89,4864.84
1,10,15,0.287146,1499.89,4864.84
1,10,15,-18.4073,1499.89,4864.84
1,10,16,19.4855,1587.74,4976.01
1,10,16,-19.4855,1587.74,4976.01
1,10,16,18.4073,1499.89,4940.07
1,10,16,-18.4073,1499.89,4940.07
1,10,16,19.4855,1587.74,4936.06
1,10,16,0.288379,1587.74,4936.06
1,10,16,-19.4855,1587.74,4936.06
1,10,16,18.4073,1499.89,4902.33
1,10,16,0.288379,1499.89,4902.33
1,10,16,-18.4073,1499.89,4902.33
1,10,17,19.4762,1586.99,5016.07
1,10,17,-19.4762,1586.99,5016.07
1,10,17,18.4073,1499.89,4978.23
1,10,17,-18.4073,1499.89,4978.23
1,10,17,19.4762,1586.99,4975.77
1,10,17,0.28962,1586.99,4975.77
1,10,17,-19.4762,1586.99,4975.77
1,10,17,18.4073,1499.89,4940.14
1,10,17,0.28962,1499.89,4940.14
1,10,17,-18.4073,1499.89,4940.14
1,10,18,19.4665,1586.2,5056.45
1,10,18,-19.4665,1586.2,5056.45
1,10,18,18.4073,1499.89,5016.74
1,10,18,-18.4073,1499.89,5016.74
1,10,18,19.4665,1586.2,5015.79
1,10,18,0.290872,1586.2,5015.79
1,10,18,-19.4665,1586.2,5015.79
1,10,18,18.4073,1499.89,4978.29
1,10,18,0.290872,1499.89,4978.29
1,10,18,-18.4073,1499.89,4978.29
1,10,19,19.4565,1585.37,5097.18
1,10,19,-19.4565,1585.37,5097.18
1,10,19,18.4073,1499.89,5055.63
1,10,19,-18.4073,1499.89,5055.63
1,10,19,19.4565,1585.37,5056.14
1,10,19,0.292135,1585.37,5056.14
1,10,19,-19.4565,1585.37,5056.14
1,10,19,18.4073,1499.89,5016.8
1,10,19,0.292135,1499.89,5016.8
1,10,19,-18.4073,1499.89,5016.8
1,10,20,19.446,1584.52,5138.28
1,10,20,-19.446,1584.52,5138.28
1,10,20,18.4073,1499.89,5094.92
1,10,20,-18.4073,1499.89,5094.92
1,10,20,19.446,1584.52,5096.82
1,10,20,0.293409,1584.52,5096.82
1,10,20,-19.446,1584.52,5096.82
1,10,20,18.4073,1499.89,5055.68
1,10,20,0.293409,1499.89,5055.68
1,10,20,-18.4073,1499.89,5055.68
1,10,21,19.4352,1583.64,5179.76
1,10,21,-19.4352,1583.64,5179.76
1,10,21,18.4073,1499.89,5134.63
1,10,21,-18.4073,1499.89,5134.63
1,10,21,19.4352,1583.64,5137.87
1,10,21,0.294695,1583.64,5137.87
1,10,21,-19.4352,1583.64,5137.87
1,10,21,18.4073,1499.89,5094.97
1,10,21,0.294695,1499.89,5094.97
1,10,21,-18.4073,1499.89,5094.97
1,10,22,19.424,1582.73,5221.64
1,10,22,-19.424,1582.73,5221.64
1,10,22,18.4073,1499.89,5174.79
1,10,22,-18.4073,1499.89,5174.79
1,10,22,19.424,1582.73,5179.31
1,10,22,0.295993,1582.73,5179.31
1,10,22,-19.424,1582.73,5179.31
1,10,22,18.4073,1499.89,5134.67
1,10,22,0.295993,1499.89,5134.67
1,10,22,-18.4073,1499.89,5134.67
1,10,23,19.4126,1581.8,5263.95
1,10,23,-19.4126,1581.8,5263.95
1,10,23,18.4073,1499.89,5215.41
1,10,23,-18.4073,1499.89,5215.41
1,10,23,19.4126,1581.8,5221.15
1,10,23,0.297305,1581.8,5221.15
1,10,23,-19.4126,1581.8,5221.15
1,10,23,18.4073,1499.89,5174.83
1,10,23,0.297305,1499.89,5174.83
1,10,23,-18.4073,1499.89,5174.83
1,10,24,19.4008,1580.84,5306.72
1,10,24,-19.4008,1580.84,5306.72
1,10,24,18.4073,1499.89,5256.52
1,10,24,-18.4073,1499.89,5256.52
1,10,24,19.4008,1580.84,5263.42
1,10,24,0.29863,1580.84,5263.42
1,10,24,-19.4008,1580.84,5263.42
1,10,24,18.4073,1499.89,5215.44
1,10,24,0.29863,1499.89,5215.44
1,10,24,-18.4073,1499.89,5215.44
1,10,25,19.3888,1579.87,5349.95
1,10,25,-19.3888,1579.87,5349.95
1,10,25,18.4073,1499.89,5298.14
1,10,25,-18.4073,1499.89,5298.14
1,10,25,19.3888,1579.87,5306.14
1,10,25,0.299971,1579.87,5306.14
1,10,25,-19.3888,1579.87,5306.14
1,10,25,18.4073,1499.89,5256.55
1,10,25,0.299971,1499.89,5256.55
1,10,25,-18.4073,1499.89,5256.55
1,10,26,19.3766,1578.87,5393.68
1,10,26,-19.3766,1578.87,5393.68
1,10,26,18.4073,1499.89,5340.3
1,10,26,-18.4073,1499.89,5340.3
1,10,26,19.3766,1578.87,5349.33
1,10,26,0.301326,1578.87,5349.33
1,10,26,-19.3766,1578.87,5349.33
1,10,26,18.4073,1499.89,5298.16
1,10,26,0.301326,1499.89,5298.16
1,10,26,-18.4073,1499.89,5298.16
1,10,27,19.3641,1577.85,5437.93
1,10,27,-19.3641,1577.85,5437.93
1,10,27,18.4073,1499.89,5383.01
1,10,27,-18.4073,1499.89,5383.01
1,10,27,19.3641,1577.85,5393.01
1,10,27,0.302698,1577.85,5393.01
1,10,27,-19.3641,1577.85,5393.01
1,10,27,18.4073,1499.89,5340.31
1,10,27,0.302698,1499.89,5340.31
1,10,27,-18.4073,1499.89,5340.31
1,10,28,19.3515,1576.82,5482.72
1,10,28,-19.3515,1576.82,5482.72
1,10,28,18.4073,1499.89,5426.3
1,10,28,-18.4073,1499.89,5426.3
1,10,28,19.3515,1576.82,5437.21
1,10,28,0.304086,1576.82,5437.21
1,10,28,-19.3515,1576.82,5437.21
1,10,28,18.4073,1499.89,5383.02
1,10,28,0.304086,1499.89,5383.02
1,10,28,-18.4073,1499.89,5383.02
1,10,29,19.3387,1575.78,5528.07
1,10,29,-19.3387,1575.78,5528.07
1,10,29,18.4073,1499.89,5470.2
1,10,29,-18.4073,1499.89,5470.2
1,10,29,19.3387,1575.78,5481.95
1,10,29,0.305492,1575.78,5481.95
1,10,29,-19.3387,1575.78,5481.95
1,10,29,18.4073,1499.89,5426.31
1,10,29,0.305492,1499.89,5426.31
1,10,29,-18.4073,1499.89,5426.31
1,10,30,19.3257,1574.72,5574.01
1,10,30,-19.3257,1574.72,5574.01
1,10,30,18.4073,1499.89,5514.73
1,10,30,-18.4073,1499.89,5514.73
1,10,30,19.3257,1574.72,5527.26
1,10,30,0.306917,1574.72,5527.26
1,10,30,-19.3257,1574.72,5527.26
1,10,30,18.4073,1499.89,5470.2
1,10,30,0.306917,1499.89,5470.2
1,10,30,-18.4073,1499.89,5470.2
1,10,31,19.3126,1573.65,5620.56
1,10,31,-19.3126,1573.65,5620.56
1,10,31,18.4073,1499.89,5559.91
1,10,31,-18.4073,1499.89,5559.91
1,10,31,19.3126,1573.65,5573.15
1,10,31,0.30836,1573.65,5573.15
1,10,31,-19.3126,1573.65,5573.15
1,10,31,18.4073,1499.89,5514.72
1,10,31,0.30836,1499.89,5514.72
1,10,31,-18.4073,1499.89,5514.72
1,10,32,19.2993,1572.57,5667.75
1,10,32,-19.2993,1572.57,5667.75
1,10,32,18.4073,1499.89,5605.76
1,10,32,-18.4073,1499.89,5605.76
1,10,32,19.2993,1572.57,5619.66
1,10,32,0.309823,1572.57,5619.66
1,10,32,-19.2993,1572.57,5619.66
1,10,32,18.4073,1499.89,5559.89
1,10,32,0.309823,1499.89,5559.89
1,10,32,-18.4073,1499.89,5559.89
1,10,33,19.286,1571.49,5715.61
1,10,33,-19.286,1571.49,5715.61
1,10,33,18.4073,1499.89,5652.32
1,10,33,-18.4073,1499.89,5652.32
1,10,33,19.286,1571.49,5666.8
1,10,33,0.311306,1571.49,5666.8
1,10,33,-19.286,1571.49,5666.8
1,10,33,18.4073,1499.89,5605.74
1,10,33,0.311306,1499.89,5605.74
1,10,33,-18.4073,1499.89,5605.74
1,10,34,19.2726,1570.4,5764.15
1,10,34,-19.2726,1570.4,5764.15
1,10,34,18.4073,1499.89,5699.61
1,10,34,-18.4073,1499.89,5699.61
1,10,34,19.2726,1570.4,5714.61
1,10,34,0.312811,1570.4,5714.61
1,10,34,-19.2726,1570.4,5714.61
1,10,34,18.4073,1499.89,5652.29
1,10,34,0.312811,1499.89,5652.29
1,10,34,-18.4073,1499.89,5652.29
1,10,35,19.2592,1569.3,5813.41
1,10,35,-19.2592,1569.3,5813.41
1,10,35,18.4073,1499.89,5747.65
1,10,35,-18.4073,1499.89,5747.65
1,10,35,19.2592,1569.3,5763.11
1,10,35,0.314338,1569.3,5763.11
1,10,35,-19.2592,1569.3,5763.11
1,10,35,18.4073,1499.89,5699.57
1,10,35,0.314338,1499.89,5699.57
1,10,35,-18.4073,1499.89,5699.57
1,10,36,19.2457,1568.2,5863.42
1,10,36,-19.2457,1568.2,5863.42
1,10,36,18.4073,1499.89,5796.47
1,10,36,-18.4073,1499.89,5796.47
1,10,36,19.2457,1568.2,5812.32
1,10,36,0.315888,1568.2,5812.32
1,10,36,-19.2457,1568.2,5812.32
1,10,36,18.4073,1499.89,5747.6
1,10,36,0.315888,1499.89,5747.6
1,10,36,-18.4073,1499.89,5747.6
1,10,37,19.2321,1567.1,5914.19
1,10,37,-19.2321,1567.1,5914.19
1,10,37,18.4073,1499.89,5846.1
1,10,37,-18.4073,1499.89,5846.1
1,10,37,19.2321,1567.1,5862.28
1,10,37,0.317462,1567.1,5862.28
1,10,37,-19.2321,1567.1,5862.28
1,10,37,18.4073,1499.89,5796.41
1,10,37,0.317462,1499.89,5796.41
1,10,37,-18.4073,1499.89,5796.41
1,10,38,19.2186,1565.99,5965.76
1,10,38,-19.2186,1565.99,5965.76
1,10,38,18.4073,1499.89,5896.56
1,10,38,-18.4073,1499.89,5896.56
1,10,38,19.2186,1565.99,5913.01
1,10,38,0.319061,1565.99,5913.01
1,10,38,-19.2186,1565.99,5913.01
1,10,38,18.4073,1499.89,5846.03
1,10,38,0.319061,1499.89,5846.03
1,10,38,-18.4073,1499.89,5846.03
1,10,39,19.2051,1564.89,6018.16
1,10,39,-19.2051,1564.89,6018.16
1,10,39,18.4073,1499.89,5947.89
1,10,39,-18.4073,1499.89,5947.89
1,10,39,19.2051,1564.89,5964.53
1,10,39,0.320685,1564.89,5964.53
1,10,39,-19.2051,1564.89,5964.53
1,10,39,18.4073,1499.89,5896.49
1,10,39,0.320685,1499.89,5896.49
1,10,39,-18.4073,1499.89,5896.49
1,10,40,19.1916,1563.79,6071.41
1,10,40,-19.1916,1563.79,6071.41
1,10,40,18.4073,1499.89,6000.11
1,10,40,-18.4073,1499.89,6000.11
1,10,40,19.1916,1563.79,6016.89
1,10,40,0.322336,1563.79,6016.89
1,10,40,-19.1916,1563.79,6016.89
1,10,40,18.4073,1499.89,5947.81
1,10,40,0.322336,1499.89,5947.81
1,10,40,-18.4073,1499.89,5947.81
1,10,41,19.1781,1562.69,6125.55
1,10,41,-19.1781,1562.69,6125.55
1,10,41,18.4073,1499.89,6053.24
1,10,41,-18.4073,1499.89,6053.24
1,10,41,19.1781,1562.69,6070.1
1,10,41,0.324014,1562.69,6070.1
1,10,41,-19.1781,1562.69,6070.1
1,10,41,18.4073,1499.89,6000.02
1,10,41,0.324014,1499.89,6000.02
1,10,41,-18.4073,1499.89,6000.02
1,10,42,19.1647,1561.6,6180.6
1,10,42,-19.1647,1561.6,6180.6
1,10,42,18.4073,1499.89,6107.33
1,10,42,-18.4073,1499.89,6107.33
1,10,42,19.1647,1561.6,6124.19
1,10,42,0.325721,1561.6,6124.19
1,10,42,-19.1647,1561.6,6124.19
1,10,42,18.4073,1499.89,6053.14
1,10,42,0.325721,1499.89,6053.14
1,10,42,-18.4073,1499.89,6053.14
1,10,43,19.1513,1560.51,6236.59
1,10,43,-19.1513,1560.51,6236.59
1,10,43,18.4073,1499.89,6162.39
1,10,43,-18.4073,1499.89,6162.39
1,10,43,19.1513,1560.51,6179.2
1,10,43,0.327457,1560.51,6179.2
1,10,43,-19.1513,1560.51,6179.2
1,10,43,18.4073,1499.89,6107.22
1,10,43,0.327457,1499.89,6107.22
1,10,43,-18.4073,1499.89,6107.22
1,10,44,19.138,1559.43,6293.56
1,10,44,-19.138,1559.43,6293.56
1,10,44,18.4073,1499.89,6218.46
1,10,44,-18.4073,1499.89,6218.46
1,10,44,19.138,1559.43,6235.15
1,10,44,0.329223,1559.43,6235.15
1,10,44,-19.138,1559.43,6235.15
1,10,44,18.4073,1499.89,6162.27
1,10,44,0.329223,1499.89,6162.27
1,10,44,-18.4073,1499.89,6162.27
1,10,45,19.1248,1558.35,6351.54
1,10,45,-19.1248,1558.35,6351.54
1,10,45,18.4073,1499.89,6275.57
1,10,45,-18.4073,1499.89,6275.57
1,10,45,19.1248,1558.35,6292.08
1,10,45,0.33102,1558.35,6292.08
1,10,45,-19.1248,1558.35,6292.08
1,10,45,18.4073,1499.89,6218.34
1,10,45,0.33102,1499.89,6218.34
1,10,45,-18.4073,1499.89,6218.34
1,10,46,19.1116,1557.28,6410.56
1,10,46,-19.1116,1557.28,6410.56
1,10,46,18.4073,1499.89,6333.76
1,10,46,-18.4073,1499.89,6333.76
1,10,46,19.1116,1557.28,6350.01
1,10,46,0.33285,1557.28,6350.01
1,10,46,-19.1116,1557.28,6350.01
1,10,46,18.4073,1499.89,6275.44
1,10,46,0.33285,1499.89,6275.44
1,10,46,-18.4073,1499.89,6275.44
1,10,47,19.0986,1556.22,6470.65
1,10,47,-19.0986,1556.22,6470.65
1,10,47,18.4073,1499.89,6393.04
1,10,47,-18.4073,1499.89,6393.04
1,10,47,19.0986,1556.22,6408.99
1,10,47,0.334712,1556.22,6408.99
1,10,47,-19.0986,1556.22,6408.99
1,10,47,18.4073,1499.89,6333.61
1,10,47,0.334712,1499.89,6333.61
1,10,47,-18.4073,1499.89,6333.61
1,10,48,19.0857,1555.16,6531.85
1,10,48,-19.0857,1555.16,6531.85
1,10,48,18.4073,1499.89,6453.46
1,10,48,-18.4073,1499.89,6453.46
1,10,48,19.0857,1555.16,6469.04
1,10,48,0.336609,1555.16,6469.04
1,10,48,-19.0857,1555.16,6469.04
1,10,48,18.4073,1499.89,6392.88
1,10,48,0.336609,1499.89,6392.88
1,10,48,-18.4073,1499.89,6392.88
1,10,49,19.0729,1554.12,6594.18
1,10,49,-19.0729,1554.12,6594.18
1,10,49,18.4073,1499.89,6515.05
1,10,49,-18.4073,1499.89,6515.05
1,10,49,19.0729,1554.12,6530.2
1,10,49,0.338542,1554.12,6530.2
1,10,49,-19.0729,1554.12,6530.2
1,10,49,18.4073,1499.89,6453.29
1,10,49,0.338542,1499.89,6453.29
1,10,49,-18.4073,1499.89,6453.29
1,10,50,19.0602,1553.09,6657.69
1,10,50,-19.0602,1553.09,6657.69
1,10,50,18.4073,1499.89,6577.84
1,10,50,-18.4073,1499.89,6577.84
1,10,50,19.0602,1553.09,6592.49
1,10,50,0.340511,1553.09,6592.49
1,10,50,-19.0602,1553.09,6592.49
1,10,50,18.4073,1499.89,6514.87
1,10,50,0.340511,1499.89,6514.87
1,10,50,-18.4073,1499.89,6514.87
1,10,51,19.0476,1552.06,6722.41
1,10,51,-19.0476,1552.06,6722.41
1,10,51,18.4073,1499.89,6641.87
1,10,51,-18.4073,1499.89,6641.87
1,10,51,19.0476,1552.06,6655.96
1,10,51,0.342517,1552.06,6655.96
1,10,51,-19.0476,1552.06,6655.96
1,10,51,18.4073,1499.89,6577.65
1,10,51,0.342517,1499.89,6577.65
1,10,51,-18.4073,1499.89,6577.65
1,10,52,19.0352,1551.05,6788.37
1,10,52,-19.0352,1551.05,6788.37
1,10,52,18.4073,1499.89,6707.17
1,10,52,-18.4073,1499.89,6707.17
1,10,52,19.0352,1551.05,6720.64
1,10,52,0.344562,1551.05,6720.64
1,10,52,-19.0352,1551.05,6720.64
1,10,52,18.4073,1499.89,6641.66
1,10,52,0.344562,1499.89,6641.66
1,10,52,-18.4073,1499.89,6641.66
1,10,53,19.0229,1550.05,6855.62
1,10,53,-19.0229,1550.05,6855.62
1,10,53,18.4073,1499.89,6773.77
1,10,53,-18.4073,1499.89,6773.77
1,10,53,19.0229,1550.05,6786.57
1,10,53,0.346646,1550.05,6786.57
1,10,53,-19.0229,1550.05,6786.57
1,10,53,18.4073,1499.89,6706.95
1,10,53,0.346646,1499.89,6706.95
1,10,53,-18.4073,1499.89,6706.95
1,10,54,19.0108,1549.06,6924.19
1,10,54,-19.0108,1549.06,6924.19
1,10,54,18.4073,1499.89,6841.72
1,10,54,-18.4073,1499.89,6841.72
1,10,54,19.0108,1549.06,6853.78
1,10,54,0.348772,1549.06,6853.78
1,10,54,-19.0108,1549.06,6853.78
1,10,54,18.4073,1499.89,6773.54
1,10,54,0.348772,1499.89,6773.54
1,10,54,-18.4073,1499.89,6773.54
1,10,55,18.9988,1548.09,6994.11
